inicio_coleta;final_coleta;instituto;turno;candidatura;percentual_pesquisa;margem_pesquisa;qtd_entrevistas;metodologia;ambito;cargo;cenario
02/01/2025;05/01/2025;Atlas;1;Lula;41,1;2;2873;Online;Brasil;Presidente;Primeiro turno
02/01/2025;05/01/2025;Atlas;1;Caiado;5,9;2;2873;Online;Brasil;Presidente;Primeiro turno
02/01/2025;05/01/2025;Atlas;1;branco / nulo;9,1;2;2873;Online;Brasil;Presidente;Primeiro turno
02/01/2025;05/01/2025;Atlas;1;Tarcísio;26,2;2;2873;Online;Brasil;Presidente;Primeiro turno
02/01/2025;05/01/2025;Atlas;1;Eduardo Leite;0,9;2;2873;Online;Brasil;Presidente;Primeiro turno
02/01/2025;05/01/2025;Atlas;1;Lula;41,1;2;2873;Online;Brasil;Presidente;Primeiro turno
02/01/2025;05/01/2025;Atlas;1;Caiado;5,9;2;2873;Online;Brasil;Presidente;Primeiro turno
02/01/2025;05/01/2025;Atlas;1;Outros;17,7;2;2873;Online;Brasil;Presidente;Primeiro turno
02/01/2025;05/01/2025;Atlas;1;branco / nulo;9,1;2;2873;Online;Brasil;Presidente;Primeiro turno
02/01/2025;05/01/2025;Atlas;1;não sabe / não respondeu;0;2;2873;Online;Brasil;Presidente;Primeiro turno
02/01/2025;05/01/2025;Atlas;1;Ratinho Jr.;0;2;2873;Online;Brasil;Presidente;Primeiro turno
02/01/2025;05/01/2025;Atlas;1;Tarcísio;26,2;2;2873;Online;Brasil;Presidente;Primeiro turno
02/01/2025;05/01/2025;Atlas;1;Michele Bolsonaro;0;2;2873;Online;Brasil;Presidente;Primeiro turno
02/01/2025;05/01/2025;Atlas;1;Eduardo Bolsonaro;0;2;2873;Online;Brasil;Presidente;Primeiro turno
02/01/2025;05/01/2025;Atlas;1;Haddad;0;2;2873;Online;Brasil;Presidente;Primeiro turno
02/01/2025;05/01/2025;Atlas;1;Eduardo Leite;0;2;2873;Online;Brasil;Presidente;Primeiro turno
02/01/2025;05/01/2025;Atlas;1;Geraldo Alckmin;0;2;2873;Online;Brasil;Presidente;Primeiro turno
02/01/2025;05/01/2025;Atlas;1;Ciro;0;2;2873;Online;Brasil;Presidente;Primeiro turno
02/01/2025;05/01/2025;Atlas;1;Lula;44;2;2873;Online;Brasil;Presidente;Primeiro turno
02/01/2025;05/01/2025;Atlas;1;Outros;11,8;2;2873;Online;Brasil;Presidente;Primeiro turno
02/01/2025;05/01/2025;Atlas;1;branco / nulo;3,5;2;2873;Online;Brasil;Presidente;Primeiro turno
02/01/2025;05/01/2025;Atlas;1;Bolsonaro;40,6;2;2873;Online;Brasil;Presidente;Primeiro turno
02/01/2025;05/01/2025;Atlas;2;Lula;49;2;2873;Online;Brasil;Presidente;Lula vs Bolsonaro
02/01/2025;05/01/2025;Atlas;2;Bolsonaro;43;2;2873;Online;Brasil;Presidente;Lula vs Bolsonaro
02/01/2025;05/01/2025;Atlas;2;branco / nulo;8;2;2873;Online;Brasil;Presidente;Lula vs Bolsonaro
02/01/2025;05/01/2025;Atlas;2;não sabe / não respondeu;0;2;2873;Online;Brasil;Presidente;Lula vs Bolsonaro
02/01/2025;05/01/2025;Atlas;2;Lula;49;2;2873;Online;Brasil;Presidente;Lula vs Tarcísio
02/01/2025;05/01/2025;Atlas;2;Tarcísio;39;2;2873;Online;Brasil;Presidente;Lula vs Tarcísio
02/01/2025;05/01/2025;Atlas;2;branco / nulo;12;2;2873;Online;Brasil;Presidente;Lula vs Tarcísio
02/01/2025;05/01/2025;Atlas;2;não sabe / não respondeu;0;2;2873;Online;Brasil;Presidente;Lula vs Tarcísio
23/01/2025;26/01/2025;Quaest;2;Lula;45;1;4500;Presencial;Brasil;Presidente;Lula vs Caiado
23/01/2025;26/01/2025;Quaest;2;Caiado;26;1;4500;Presencial;Brasil;Presidente;Lula vs Caiado
23/01/2025;26/01/2025;Quaest;2;branco / nulo;25;1;4500;Presencial;Brasil;Presidente;Lula vs Caiado
23/01/2025;26/01/2025;Quaest;2;não sabe / não respondeu;4;1;4500;Presencial;Brasil;Presidente;Lula vs Caiado
23/01/2025;26/01/2025;Quaest;2;Lula;44;1;4500;Presencial;Brasil;Presidente;Lula vs Eduardo Bolsonaro
23/01/2025;26/01/2025;Quaest;2;Eduardo Bolsonaro;34;1;4500;Presencial;Brasil;Presidente;Lula vs Eduardo Bolsonaro
23/01/2025;26/01/2025;Quaest;2;branco / nulo;19;1;4500;Presencial;Brasil;Presidente;Lula vs Eduardo Bolsonaro
23/01/2025;26/01/2025;Quaest;2;não sabe / não respondeu;3;1;4500;Presencial;Brasil;Presidente;Lula vs Eduardo Bolsonaro
23/01/2025;26/01/2025;Quaest;2;Lula;43;1;4500;Presencial;Brasil;Presidente;Lula vs Tarcísio
23/01/2025;26/01/2025;Quaest;2;Tarcísio;34;1;4500;Presencial;Brasil;Presidente;Lula vs Tarcísio
23/01/2025;26/01/2025;Quaest;2;branco / nulo;19;1;4500;Presencial;Brasil;Presidente;Lula vs Tarcísio
23/01/2025;26/01/2025;Quaest;2;não sabe / não respondeu;4;1;4500;Presencial;Brasil;Presidente;Lula vs Tarcísio
23/01/2025;26/01/2025;Quaest;2;Lula;45;1;4500;Presencial;Brasil;Presidente;Lula vs Zema
23/01/2025;26/01/2025;Quaest;2;Zema;28;1;4500;Presencial;Brasil;Presidente;Lula vs Zema
23/01/2025;26/01/2025;Quaest;2;branco / nulo;23;1;4500;Presencial;Brasil;Presidente;Lula vs Zema
23/01/2025;26/01/2025;Quaest;2;não sabe / não respondeu;4;1;4500;Presencial;Brasil;Presidente;Lula vs Zema
27/01/2025;31/01/2025;Atlas;2;Lula;48;2;3125;Online;Brasil;Presidente;Lula vs Bolsonaro
27/01/2025;31/01/2025;Atlas;2;Bolsonaro;43;2;3125;Online;Brasil;Presidente;Lula vs Bolsonaro
27/01/2025;31/01/2025;Atlas;2;branco / nulo;9;2;3125;Online;Brasil;Presidente;Lula vs Bolsonaro
